ProductID,Name,ProductUrl
3,"Klondike Clear Lens Magnifier Safety Glasses","http://www.equipdirect.com/klondikemagnifierandregsafetyglasses.aspx"
46741,"Klondike Clear Lens Magnifier Safety Glasses| Lens Strengths| 1.0",""
46742,"Klondike Clear Lens Magnifier Safety Glasses| Lens Strengths| 1.5",""
46743,"Klondike Clear Lens Magnifier Safety Glasses| Lens Strengths| 2.0",""
46744,"Klondike Clear Lens Magnifier Safety Glasses| Lens Strengths| 2.5",""
4,"Klondike Magnifier  Safety Glasses","http://www.equipdirect.com/klondikemagnifierandregsafetyglasses1.aspx"
5,"Klondike Gray Lens Magnifier Safety Glasses","http://www.equipdirect.com/klondikemagnifierandregsafetyglasses2.aspx"
46746,"Klondike Gray Lens Magnifier Safety Glasses| Lens Strengths| 1.0",""
46747,"Klondike Gray Lens Magnifier Safety Glasses| Lens Strengths| 1.5",""
46748,"Klondike Gray Lens Magnifier Safety Glasses| Lens Strengths| 2.0",""
46749,"Klondike Gray Lens Magnifier Safety Glasses| Lens Strengths| 2.5",""
7,"Klondike Magnifier  Safety Glasses_3","http://www.equipdirect.com/klondikemagnifierandregsafetyglasses3.aspx"
8,"S2110 SAFETY GLASSES - Clear Lens","http://www.equipdirect.com/blackjacksafetyglasses-clearlens.aspx"
9,"BLACKJACK SAFETY GLASSES - Grey Lens with Duramass AF4","http://www.equipdirect.com/blackjacksafetyglasses-greylenswithduramassaf4.aspx"
12,"S2117 SAFETY GLASSES - Mirror Lens","http://www.equipdirect.com/blackjacksafetyglasses-mirrorlens.aspx"
13,"S2119 SAFETY GLASSES - Outdoor/Indoor Lens","http://www.equipdirect.com/blackjacksafetyglasses-outdoorindoorlens.aspx"
14,"S21130 Welding Safety Glasses - Green 3.0 Lens","http://www.equipdirect.com/blackjacksafetyglasses-green30lens.aspx"
15,"S21150 Welding Safety Glasses - Green 5.0 Lens","http://www.equipdirect.com/blackjacksafetyglasses-green50lens.aspx"
16,"BLACKJACK SAFETY GLASSES - Clear Lens with Duramass AF4","http://www.equipdirect.com/blackjacksafetyglasses-clearlenswithduramassaf4.aspx"
17,"S2112 SAFETY GLASSES - Grey Lens","http://www.equipdirect.com/blackjacksafetyglasses-greylens.aspx"
18,"MCR CK100 Checkmate Clear Lens  Safety Glasses ","http://www.equipdirect.com/MCRCK100CheckmateClearLensSafetyGlasses.aspx"
19,"MCR CK110 Checkmate Clear Lens Safety Glasses","http://www.equipdirect.com/CK110CHECKMATESafetyGlasses.aspx"
20,"MCR CK110AF Checkmate Clear Lens Anti-Fog Coated Safety Glasses ","http://www.equipdirect.com/CK110AFCHECKMATESafetyGlasses.aspx"
21,"MCR CK117 Checkmate Silver Mirror Safety Glasses","http://www.equipdirect.com/MCRCK117CheckmateSilverMirrorSafetyGlasses.aspx"
22,"MCR CK118 Checkmate Rainbow Mirror Safety Glasses","http://www.equipdirect.com/MCRCK118CheckmateRainbowMirrorSafetyGlasses.aspx"
23,"MCR CK119 Checkmate Indoor/Outdoor Clear Mirror Coated","http://www.equipdirect.com/MCRCK119CheckmateIndoor/OutdoorClearMirrorCoated.aspx"
24,"MCR CK112 Gray Lens Safety Glasses","http://www.equipdirect.com/MCRCK112GrayLensSafetyGlasses.aspx"
25,"MCR CK114 Checkmate Amber Safety Glasses ","http://www.equipdirect.com/MCRCK114CheckmateAmberSafetyGlasses.aspx"
26,"CK220 Safety Glasses -  Clear Lens","http://www.equipdirect.com/ck2safetyglasses-clearlens.aspx"
